code	category	description	parent_code	general
S31.0	S31	Open wound of lower back and pelvis	S31	f
S31.00	S31	Unspecified open wound of lower back and pelvis	S31.0	t
S31.000	S31	Unspecified open wound of lower back and pelvis without penetration into retroperitoneum	S31.00	t
S31.001	S31	Unspecified open wound of lower back and pelvis with penetration into retroperitoneum	S31.00	t
S31.01	S31	Laceration without foreign body of lower back and pelvis	S31.0	f
S31.010	S31	Laceration without foreign body of lower back and pelvis without penetration into retroperitoneum	S31.01	f
S31.011	S31	Laceration without foreign body of lower back and pelvis with penetration into retroperitoneum	S31.01	f
S31.02	S31	Laceration with foreign body of lower back and pelvis	S31.0	f
S31.020	S31	Laceration with foreign body of lower back and pelvis without penetration into retroperitoneum	S31.02	f
S31.021	S31	Laceration with foreign body of lower back and pelvis with penetration into retroperitoneum	S31.02	f
S31.03	S31	Puncture wound without foreign body of lower back and pelvis	S31.0	f
S31.030	S31	Puncture wound without foreign body of lower back and pelvis without penetration into retroperitoneum	S31.03	f
S31.031	S31	Puncture wound without foreign body of lower back and pelvis with penetration into retroperitoneum	S31.03	f
S31.04	S31	Puncture wound with foreign body of lower back and pelvis	S31.0	f
S31.040	S31	Puncture wound with foreign body of lower back and pelvis without penetration into retroperitoneum	S31.04	f
S31.041	S31	Puncture wound with foreign body of lower back and pelvis with penetration into retroperitoneum	S31.04	f
S31.05	S31	Open bite of lower back and pelvis	S31.0	f
S31.050	S31	Open bite of lower back and pelvis without penetration into retroperitoneum	S31.05	f
S31.051	S31	Open bite of lower back and pelvis with penetration into retroperitoneum	S31.05	f
S31.1	S31	Open wound of abdominal wall without penetration into peritoneal cavity	S31	f
S31.10	S31	Unspecified open wound of abdominal wall without penetration into peritoneal cavity	S31.1	t
S31.100	S31	Unspecified open wound of abdominal wall, right upper quadrant without penetration into peritoneal cavity	S31.10	t
S31.101	S31	Unspecified open wound of abdominal wall, left upper quadrant without penetration into peritoneal cavity	S31.10	t
S31.102	S31	Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity	S31.10	t
S31.103	S31	Unspecified open wound of abdominal wall, right lower quadrant without penetration into peritoneal cavity	S31.10	t
S31.104	S31	Unspecified open wound of abdominal wall, left lower quadrant without penetration into peritoneal cavity	S31.10	t
S31.105	S31	Unspecified open wound of abdominal wall, periumbilic region without penetration into peritoneal cavity	S31.10	t
S31.109	S31	Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity	S31.10	t
S31.11	S31	Laceration without foreign body of abdominal wall without penetration into peritoneal cavity	S31.1	f
S31.110	S31	Laceration without foreign body of abdominal wall, right upper quadrant without penetration into peritoneal cavity	S31.11	f
S31.111	S31	Laceration without foreign body of abdominal wall, left upper quadrant without penetration into peritoneal cavity	S31.11	f
S31.112	S31	Laceration without foreign body of abdominal wall, epigastric region without penetration into peritoneal cavity	S31.11	f
S31.113	S31	Laceration without foreign body of abdominal wall, right lower quadrant without penetration into peritoneal cavity	S31.11	f
S31.114	S31	Laceration without foreign body of abdominal wall, left lower quadrant without penetration into peritoneal cavity	S31.11	f
S31.115	S31	Laceration without foreign body of abdominal wall, periumbilic region without penetration into peritoneal cavity	S31.11	f
S31.119	S31	Laceration without foreign body of abdominal wall, unspecified quadrant without penetration into peritoneal cavity	S31.11	t
S31.12	S31	Laceration with foreign body of abdominal wall without penetration into peritoneal cavity	S31.1	f
S31.120	S31	Laceration of abdominal wall with foreign body, right upper quadrant without penetration into peritoneal cavity	S31.12	f
S31.121	S31	Laceration of abdominal wall with foreign body, left upper quadrant without penetration into peritoneal cavity	S31.12	f
S31.122	S31	Laceration of abdominal wall with foreign body, epigastric region without penetration into peritoneal cavity	S31.12	f
S31.123	S31	Laceration of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity	S31.12	f
S31.124	S31	Laceration of abdominal wall with foreign body, left lower quadrant without penetration into peritoneal cavity	S31.12	f
S31.125	S31	Laceration of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity	S31.12	f
S31.129	S31	Laceration of abdominal wall with foreign body, unspecified quadrant without penetration into peritoneal cavity	S31.12	t
S31.13	S31	Puncture wound of abdominal wall without foreign body without penetration into peritoneal cavity	S31.1	f
S31.130	S31	Puncture wound of abdominal wall without foreign body, right upper quadrant without penetration into peritoneal cavity	S31.13	f
S31.131	S31	Puncture wound of abdominal wall without foreign body, left upper quadrant without penetration into peritoneal cavity	S31.13	f
S31.132	S31	Puncture wound of abdominal wall without foreign body, epigastric region without penetration into peritoneal cavity	S31.13	f
S31.133	S31	Puncture wound of abdominal wall without foreign body, right lower quadrant without penetration into peritoneal cavity	S31.13	f
S31.134	S31	Puncture wound of abdominal wall without foreign body, left lower quadrant without penetration into peritoneal cavity	S31.13	f
S31.135	S31	Puncture wound of abdominal wall without foreign body, periumbilic region without penetration into peritoneal cavity	S31.13	f
S31.139	S31	Puncture wound of abdominal wall without foreign body, unspecified quadrant without penetration into peritoneal cavity	S31.13	t
S31.14	S31	Puncture wound of abdominal wall with foreign body without penetration into peritoneal cavity	S31.1	f
S31.140	S31	Puncture wound of abdominal wall with foreign body, right upper quadrant without penetration into peritoneal cavity	S31.14	f
S31.141	S31	Puncture wound of abdominal wall with foreign body, left upper quadrant without penetration into peritoneal cavity	S31.14	f
S31.142	S31	Puncture wound of abdominal wall with foreign body, epigastric region without penetration into peritoneal cavity	S31.14	f
S31.143	S31	Puncture wound of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity	S31.14	f
S31.144	S31	Puncture wound of abdominal wall with foreign body, left lower quadrant without penetration into peritoneal cavity	S31.14	f
S32.699	S32	Other specified fracture of unspecified ischium	S32.69	t
S31.145	S31	Puncture wound of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity	S31.14	f
S31.149	S31	Puncture wound of abdominal wall with foreign body, unspecified quadrant without penetration into peritoneal cavity	S31.14	t
S31.15	S31	Open bite of abdominal wall without penetration into peritoneal cavity	S31.1	f
S31.150	S31	Open bite of abdominal wall, right upper quadrant without penetration into peritoneal cavity	S31.15	f
S31.151	S31	Open bite of abdominal wall, left upper quadrant without penetration into peritoneal cavity	S31.15	f
S31.152	S31	Open bite of abdominal wall, epigastric region without penetration into peritoneal cavity	S31.15	f
S31.153	S31	Open bite of abdominal wall, right lower quadrant without penetration into peritoneal cavity	S31.15	f
S31.154	S31	Open bite of abdominal wall, left lower quadrant without penetration into peritoneal cavity	S31.15	f
S31.155	S31	Open bite of abdominal wall, periumbilic region without penetration into peritoneal cavity	S31.15	f
S31.159	S31	Open bite of abdominal wall, unspecified quadrant without penetration into peritoneal cavity	S31.15	t
S31.2	S31	Open wound of penis	S31	f
S31.20	S31	Unspecified open wound of penis	S31.2	t
S31.21	S31	Laceration without foreign body of penis	S31.2	f
S31.22	S31	Laceration with foreign body of penis	S31.2	f
S31.23	S31	Puncture wound without foreign body of penis	S31.2	f
S31.24	S31	Puncture wound with foreign body of penis	S31.2	f
S31.25	S31	Open bite of penis	S31.2	f
S31.3	S31	Open wound of scrotum and testes	S31	f
S31.30	S31	Unspecified open wound of scrotum and testes	S31.3	t
S31.31	S31	Laceration without foreign body of scrotum and testes	S31.3	f
S31.32	S31	Laceration with foreign body of scrotum and testes	S31.3	f
S31.33	S31	Puncture wound without foreign body of scrotum and testes	S31.3	f
S31.34	S31	Puncture wound with foreign body of scrotum and testes	S31.3	f
S31.35	S31	Open bite of scrotum and testes	S31.3	f
S31.4	S31	Open wound of vagina and vulva	S31	f
S31.40	S31	Unspecified open wound of vagina and vulva	S31.4	t
S31.41	S31	Laceration without foreign body of vagina and vulva	S31.4	f
S31.42	S31	Laceration with foreign body of vagina and vulva	S31.4	f
S31.43	S31	Puncture wound without foreign body of vagina and vulva	S31.4	f
S31.44	S31	Puncture wound with foreign body of vagina and vulva	S31.4	f
S31.45	S31	Open bite of vagina and vulva	S31.4	f
S31.5	S31	Open wound of unspecified external genital organs	S31	t
S31.50	S31	Unspecified open wound of unspecified external genital organs	S31.5	t
S31.501	S31	Unspecified open wound of unspecified external genital organs, male	S31.50	t
S31.502	S31	Unspecified open wound of unspecified external genital organs, female	S31.50	t
S31.51	S31	Laceration without foreign body of unspecified external genital organs	S31.5	t
S31.511	S31	Laceration without foreign body of unspecified external genital organs, male	S31.51	t
S31.512	S31	Laceration without foreign body of unspecified external genital organs, female	S31.51	t
S31.52	S31	Laceration with foreign body of unspecified external genital organs	S31.5	t
S31.521	S31	Laceration with foreign body of unspecified external genital organs, male	S31.52	t
S31.522	S31	Laceration with foreign body of unspecified external genital organs, female	S31.52	t
S31.53	S31	Puncture wound without foreign body of unspecified external genital organs	S31.5	t
S31.531	S31	Puncture wound without foreign body of unspecified external genital organs, male	S31.53	t
S31.532	S31	Puncture wound without foreign body of unspecified external genital organs, female	S31.53	t
S31.54	S31	Puncture wound with foreign body of unspecified external genital organs	S31.5	t
S31.541	S31	Puncture wound with foreign body of unspecified external genital organs, male	S31.54	t
S31.542	S31	Puncture wound with foreign body of unspecified external genital organs, female	S31.54	t
S31.55	S31	Open bite of unspecified external genital organs	S31.5	t
S31.551	S31	Open bite of unspecified external genital organs, male	S31.55	t
S31.552	S31	Open bite of unspecified external genital organs, female	S31.55	t
S31.6	S31	Open wound of abdominal wall with penetration into peritoneal cavity	S31	f
S31.60	S31	Unspecified open wound of abdominal wall with penetration into peritoneal cavity	S31.6	t
S31.600	S31	Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.60	t
S31.601	S31	Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.60	t
S31.602	S31	Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.60	t
S31.603	S31	Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.60	t
S31.604	S31	Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.60	t
S31.605	S31	Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.60	t
S31.609	S31	Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.60	t
S31.61	S31	Laceration without foreign body of abdominal wall with penetration into peritoneal cavity	S31.6	f
S31.610	S31	Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.61	f
S31.611	S31	Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.61	f
S31.612	S31	Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.61	f
S31.613	S31	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.61	f
S31.614	S31	Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.61	f
S31.615	S31	Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.61	f
S31.619	S31	Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.61	t
S31.62	S31	Laceration with foreign body of abdominal wall with penetration into peritoneal cavity	S31.6	f
S31.620	S31	Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.62	f
S31.621	S31	Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.62	f
S31.622	S31	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.62	f
S31.623	S31	Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.62	f
S31.624	S31	Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.62	f
S31.625	S31	Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.62	f
S31.629	S31	Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.62	t
S31.63	S31	Puncture wound without foreign body of abdominal wall with penetration into peritoneal cavity	S31.6	f
S31.630	S31	Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.63	f
S31.631	S31	Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.63	f
S31.632	S31	Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.63	f
S31.633	S31	Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.63	f
S31.634	S31	Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.63	f
S31.635	S31	Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.63	f
S31.639	S31	Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.63	t
S31.64	S31	Puncture wound with foreign body of abdominal wall with penetration into peritoneal cavity	S31.6	f
S31.640	S31	Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.64	f
S31.641	S31	Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.64	f
S31.642	S31	Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.64	f
S31.643	S31	Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.64	f
S31.644	S31	Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.64	f
S31.645	S31	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.64	f
S31.649	S31	Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.64	t
S31.65	S31	Open bite of abdominal wall with penetration into peritoneal cavity	S31.6	f
S31.650	S31	Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity	S31.65	f
S31.651	S31	Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity	S31.65	f
S31.652	S31	Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity	S31.65	f
S31.653	S31	Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity	S31.65	f
S31.654	S31	Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity	S31.65	f
S31.655	S31	Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity	S31.65	f
S31.659	S31	Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity	S31.65	t
S31.8	S31	Open wound of other parts of abdomen, lower back and pelvis	S31	f
S31.80	S31	Open wound of unspecified buttock	S31.8	t
S31.801	S31	Laceration without foreign body of unspecified buttock	S31.80	t
S31.802	S31	Laceration with foreign body of unspecified buttock	S31.80	t
S31.803	S31	Puncture wound without foreign body of unspecified buttock	S31.80	t
S31.804	S31	Puncture wound with foreign body of unspecified buttock	S31.80	t
S31.805	S31	Open bite of unspecified buttock	S31.80	t
S31.809	S31	Unspecified open wound of unspecified buttock	S31.80	t
S31.81	S31	Open wound of right buttock	S31.8	f
S31.811	S31	Laceration without foreign body of right buttock	S31.81	f
S31.812	S31	Laceration with foreign body of right buttock	S31.81	f
S31.813	S31	Puncture wound without foreign body of right buttock	S31.81	f
S31.814	S31	Puncture wound with foreign body of right buttock	S31.81	f
S31.815	S31	Open bite of right buttock	S31.81	f
S31.819	S31	Unspecified open wound of right buttock	S31.81	t
S31.82	S31	Open wound of left buttock	S31.8	f
S31.821	S31	Laceration without foreign body of left buttock	S31.82	f
S31.822	S31	Laceration with foreign body of left buttock	S31.82	f
S31.823	S31	Puncture wound without foreign body of left buttock	S31.82	f
S31.824	S31	Puncture wound with foreign body of left buttock	S31.82	f
S31.825	S31	Open bite of left buttock	S31.82	f
S31.829	S31	Unspecified open wound of left buttock	S31.82	t
S31.83	S31	Open wound of anus	S31.8	f
S31.831	S31	Laceration without foreign body of anus	S31.83	f
S31.832	S31	Laceration with foreign body of anus	S31.83	f
S31.833	S31	Puncture wound without foreign body of anus	S31.83	f
S31.834	S31	Puncture wound with foreign body of anus	S31.83	f
S31.835	S31	Open bite of anus	S31.83	f
S31.839	S31	Unspecified open wound of anus	S31.83	t
S32	S32	Fracture of lumbar spine and pelvis		f
S32.0	S32	Fracture of lumbar vertebra	S32	f
S32.00	S32	Fracture of unspecified lumbar vertebra	S32.0	t
S32.000	S32	Wedge compression fracture of unspecified lumbar vertebra	S32.00	t
S32.001	S32	Stable burst fracture of unspecified lumbar vertebra	S32.00	t
S32.002	S32	Unstable burst fracture of unspecified lumbar vertebra	S32.00	t
S32.008	S32	Other fracture of unspecified lumbar vertebra	S32.00	t
S32.009	S32	Unspecified fracture of unspecified lumbar vertebra	S32.00	t
S32.01	S32	Fracture of first lumbar vertebra	S32.0	f
S32.010	S32	Wedge compression fracture of first lumbar vertebra	S32.01	f
S32.011	S32	Stable burst fracture of first lumbar vertebra	S32.01	f
S32.012	S32	Unstable burst fracture of first lumbar vertebra	S32.01	f
S32.018	S32	Other fracture of first lumbar vertebra	S32.01	f
S32.019	S32	Unspecified fracture of first lumbar vertebra	S32.01	t
S32.02	S32	Fracture of second lumbar vertebra	S32.0	f
S32.020	S32	Wedge compression fracture of second lumbar vertebra	S32.02	f
S32.021	S32	Stable burst fracture of second lumbar vertebra	S32.02	f
S32.022	S32	Unstable burst fracture of second lumbar vertebra	S32.02	f
S32.028	S32	Other fracture of second lumbar vertebra	S32.02	f
S32.029	S32	Unspecified fracture of second lumbar vertebra	S32.02	t
S32.03	S32	Fracture of third lumbar vertebra	S32.0	f
S32.030	S32	Wedge compression fracture of third lumbar vertebra	S32.03	f
S32.031	S32	Stable burst fracture of third lumbar vertebra	S32.03	f
S32.032	S32	Unstable burst fracture of third lumbar vertebra	S32.03	f
S32.038	S32	Other fracture of third lumbar vertebra	S32.03	f
S32.039	S32	Unspecified fracture of third lumbar vertebra	S32.03	t
S32.04	S32	Fracture of fourth lumbar vertebra	S32.0	f
S32.040	S32	Wedge compression fracture of fourth lumbar vertebra	S32.04	f
S32.041	S32	Stable burst fracture of fourth lumbar vertebra	S32.04	f
S32.042	S32	Unstable burst fracture of fourth lumbar vertebra	S32.04	f
S32.048	S32	Other fracture of fourth lumbar vertebra	S32.04	f
S32.049	S32	Unspecified fracture of fourth lumbar vertebra	S32.04	t
S32.05	S32	Fracture of fifth lumbar vertebra	S32.0	f
S32.050	S32	Wedge compression fracture of fifth lumbar vertebra	S32.05	f
S32.051	S32	Stable burst fracture of fifth lumbar vertebra	S32.05	f
S32.052	S32	Unstable burst fracture of fifth lumbar vertebra	S32.05	f
S32.058	S32	Other fracture of fifth lumbar vertebra	S32.05	f
S32.059	S32	Unspecified fracture of fifth lumbar vertebra	S32.05	t
S32.1	S32	Fracture of sacrum	S32	f
S32.10	S32	Unspecified fracture of sacrum	S32.1	t
S32.11	S32	Zone I fracture of sacrum	S32.1	f
S32.110	S32	Nondisplaced Zone I fracture of sacrum	S32.11	f
S32.111	S32	Minimally displaced Zone I fracture of sacrum	S32.11	f
S32.112	S32	Severely displaced Zone I fracture of sacrum	S32.11	f
S32.119	S32	Unspecified Zone I fracture of sacrum	S32.11	t
S32.12	S32	Zone II fracture of sacrum	S32.1	f
S32.120	S32	Nondisplaced Zone II fracture of sacrum	S32.12	f
S32.121	S32	Minimally displaced Zone II fracture of sacrum	S32.12	f
S32.122	S32	Severely displaced Zone II fracture of sacrum	S32.12	f
S32.129	S32	Unspecified Zone II fracture of sacrum	S32.12	t
S32.13	S32	Zone III fracture of sacrum	S32.1	f
S32.130	S32	Nondisplaced Zone III fracture of sacrum	S32.13	f
S32.131	S32	Minimally displaced Zone III fracture of sacrum	S32.13	f
S32.132	S32	Severely displaced Zone III fracture of sacrum	S32.13	f
S32.139	S32	Unspecified Zone III fracture of sacrum	S32.13	t
S32.14	S32	Type 1 fracture of sacrum	S32.1	f
S32.15	S32	Type 2 fracture of sacrum	S32.1	f
S32.16	S32	Type 3 fracture of sacrum	S32.1	f
S32.17	S32	Type 4 fracture of sacrum	S32.1	f
S32.19	S32	Other fracture of sacrum	S32.1	f
S32.2	S32	Fracture of coccyx	S32	f
S32.3	S32	Fracture of ilium	S32	f
S32.30	S32	Unspecified fracture of ilium	S32.3	t
S32.301	S32	Unspecified fracture of right ilium	S32.30	t
S32.302	S32	Unspecified fracture of left ilium	S32.30	t
S32.309	S32	Unspecified fracture of unspecified ilium	S32.30	t
S32.31	S32	Avulsion fracture of ilium	S32.3	f
S32.311	S32	Displaced avulsion fracture of right ilium	S32.31	f
S32.312	S32	Displaced avulsion fracture of left ilium	S32.31	f
S32.313	S32	Displaced avulsion fracture of unspecified ilium	S32.31	t
S32.314	S32	Nondisplaced avulsion fracture of right ilium	S32.31	f
S32.315	S32	Nondisplaced avulsion fracture of left ilium	S32.31	f
S32.316	S32	Nondisplaced avulsion fracture of unspecified ilium	S32.31	t
S32.39	S32	Other fracture of ilium	S32.3	f
S32.391	S32	Other fracture of right ilium	S32.39	f
S32.392	S32	Other fracture of left ilium	S32.39	f
S32.399	S32	Other fracture of unspecified ilium	S32.39	t
S32.4	S32	Fracture of acetabulum	S32	f
S32.40	S32	Unspecified fracture of acetabulum	S32.4	t
S32.401	S32	Unspecified fracture of right acetabulum	S32.40	t
S32.402	S32	Unspecified fracture of left acetabulum	S32.40	t
S32.409	S32	Unspecified fracture of unspecified acetabulum	S32.40	t
S32.41	S32	Fracture of anterior wall of acetabulum	S32.4	f
S32.411	S32	Displaced fracture of anterior wall of right acetabulum	S32.41	f
S32.412	S32	Displaced fracture of anterior wall of left acetabulum	S32.41	f
S32.413	S32	Displaced fracture of anterior wall of unspecified acetabulum	S32.41	t
S32.414	S32	Nondisplaced fracture of anterior wall of right acetabulum	S32.41	f
S32.415	S32	Nondisplaced fracture of anterior wall of left acetabulum	S32.41	f
S32.416	S32	Nondisplaced fracture of anterior wall of unspecified acetabulum	S32.41	t
S32.42	S32	Fracture of posterior wall of acetabulum	S32.4	f
S32.421	S32	Displaced fracture of posterior wall of right acetabulum	S32.42	f
S32.422	S32	Displaced fracture of posterior wall of left acetabulum	S32.42	f
S32.423	S32	Displaced fracture of posterior wall of unspecified acetabulum	S32.42	t
S32.424	S32	Nondisplaced fracture of posterior wall of right acetabulum	S32.42	f
S32.425	S32	Nondisplaced fracture of posterior wall of left acetabulum	S32.42	f
S32.426	S32	Nondisplaced fracture of posterior wall of unspecified acetabulum	S32.42	t
S32.43	S32	Fracture of anterior column [iliopubic] of acetabulum	S32.4	f
S32.431	S32	Displaced fracture of anterior column [iliopubic] of right acetabulum	S32.43	f
S32.432	S32	Displaced fracture of anterior column [iliopubic] of left acetabulum	S32.43	f
S32.433	S32	Displaced fracture of anterior column [iliopubic] of unspecified acetabulum	S32.43	t
S32.434	S32	Nondisplaced fracture of anterior column [iliopubic] of right acetabulum	S32.43	f
S32.435	S32	Nondisplaced fracture of anterior column [iliopubic] of left acetabulum	S32.43	f
S32.436	S32	Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum	S32.43	t
S32.44	S32	Fracture of posterior column [ilioischial] of acetabulum	S32.4	f
S32.441	S32	Displaced fracture of posterior column [ilioischial] of right acetabulum	S32.44	f
S32.442	S32	Displaced fracture of posterior column [ilioischial] of left acetabulum	S32.44	f
S32.443	S32	Displaced fracture of posterior column [ilioischial] of unspecified acetabulum	S32.44	t
S32.444	S32	Nondisplaced fracture of posterior column [ilioischial] of right acetabulum	S32.44	f
S32.445	S32	Nondisplaced fracture of posterior column [ilioischial] of left acetabulum	S32.44	f
S32.446	S32	Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum	S32.44	t
S32.45	S32	Transverse fracture of acetabulum	S32.4	f
S32.451	S32	Displaced transverse fracture of right acetabulum	S32.45	f
S32.452	S32	Displaced transverse fracture of left acetabulum	S32.45	f
S32.453	S32	Displaced transverse fracture of unspecified acetabulum	S32.45	t
S32.454	S32	Nondisplaced transverse fracture of right acetabulum	S32.45	f
S32.455	S32	Nondisplaced transverse fracture of left acetabulum	S32.45	f
S32.456	S32	Nondisplaced transverse fracture of unspecified acetabulum	S32.45	t
S32.46	S32	Associated transverse-posterior fracture of acetabulum	S32.4	f
S32.461	S32	Displaced associated transverse-posterior fracture of right acetabulum	S32.46	f
S32.462	S32	Displaced associated transverse-posterior fracture of left acetabulum	S32.46	f
S32.463	S32	Displaced associated transverse-posterior fracture of unspecified acetabulum	S32.46	t
S32.464	S32	Nondisplaced associated transverse-posterior fracture of right acetabulum	S32.46	f
S32.465	S32	Nondisplaced associated transverse-posterior fracture of left acetabulum	S32.46	f
S32.466	S32	Nondisplaced associated transverse-posterior fracture of unspecified acetabulum	S32.46	t
S32.47	S32	Fracture of medial wall of acetabulum	S32.4	f
S32.471	S32	Displaced fracture of medial wall of right acetabulum	S32.47	f
S32.472	S32	Displaced fracture of medial wall of left acetabulum	S32.47	f
S32.473	S32	Displaced fracture of medial wall of unspecified acetabulum	S32.47	t
S32.474	S32	Nondisplaced fracture of medial wall of right acetabulum	S32.47	f
S32.475	S32	Nondisplaced fracture of medial wall of left acetabulum	S32.47	f
S32.476	S32	Nondisplaced fracture of medial wall of unspecified acetabulum	S32.47	t
S32.48	S32	Dome fracture of acetabulum	S32.4	f
S32.481	S32	Displaced dome fracture of right acetabulum	S32.48	f
S32.482	S32	Displaced dome fracture of left acetabulum	S32.48	f
S32.483	S32	Displaced dome fracture of unspecified acetabulum	S32.48	t
S32.484	S32	Nondisplaced dome fracture of right acetabulum	S32.48	f
S32.485	S32	Nondisplaced dome fracture of left acetabulum	S32.48	f
S32.486	S32	Nondisplaced dome fracture of unspecified acetabulum	S32.48	t
S32.49	S32	Other specified fracture of acetabulum	S32.4	f
S32.491	S32	Other specified fracture of right acetabulum	S32.49	f
S32.492	S32	Other specified fracture of left acetabulum	S32.49	f
S32.499	S32	Other specified fracture of unspecified acetabulum	S32.49	t
S32.5	S32	Fracture of pubis	S32	f
S32.50	S32	Unspecified fracture of pubis	S32.5	t
S32.501	S32	Unspecified fracture of right pubis	S32.50	t
S32.502	S32	Unspecified fracture of left pubis	S32.50	t
S32.509	S32	Unspecified fracture of unspecified pubis	S32.50	t
S32.51	S32	Fracture of superior rim of pubis	S32.5	f
S32.511	S32	Fracture of superior rim of right pubis	S32.51	f
S32.512	S32	Fracture of superior rim of left pubis	S32.51	f
S32.519	S32	Fracture of superior rim of unspecified pubis	S32.51	t
S32.59	S32	Other specified fracture of pubis	S32.5	f
S32.591	S32	Other specified fracture of right pubis	S32.59	f
S32.592	S32	Other specified fracture of left pubis	S32.59	f
S32.599	S32	Other specified fracture of unspecified pubis	S32.59	t
S32.6	S32	Fracture of ischium	S32	f
S32.60	S32	Unspecified fracture of ischium	S32.6	t
S32.601	S32	Unspecified fracture of right ischium	S32.60	t
S32.602	S32	Unspecified fracture of left ischium	S32.60	t
S32.609	S32	Unspecified fracture of unspecified ischium	S32.60	t
S32.61	S32	Avulsion fracture of ischium	S32.6	f
S32.611	S32	Displaced avulsion fracture of right ischium	S32.61	f
S32.612	S32	Displaced avulsion fracture of left ischium	S32.61	f
S32.613	S32	Displaced avulsion fracture of unspecified ischium	S32.61	t
S32.614	S32	Nondisplaced avulsion fracture of right ischium	S32.61	f
S32.615	S32	Nondisplaced avulsion fracture of left ischium	S32.61	f
S32.616	S32	Nondisplaced avulsion fracture of unspecified ischium	S32.61	t
S32.69	S32	Other specified fracture of ischium	S32.6	f
S32.691	S32	Other specified fracture of right ischium	S32.69	f
S32.692	S32	Other specified fracture of left ischium	S32.69	f
S32.8	S32	Fracture of other parts of pelvis	S32	f
S32.81	S32	Multiple fractures of pelvis with disruption of pelvic ring	S32.8	f
S32.810	S32	Multiple fractures of pelvis with stable disruption of pelvic ring	S32.81	f
S32.811	S32	Multiple fractures of pelvis with unstable disruption of pelvic ring	S32.81	f
S32.82	S32	Multiple fractures of pelvis without disruption of pelvic ring	S32.8	f
S32.89	S32	Fracture of other parts of pelvis	S32.8	f
S32.9	S32	Fracture of unspecified parts of lumbosacral spine and pelvis	S32	t
