category	section	description
P22	P19-P29	Respiratory distress of newborn
P23	P19-P29	Congenital pneumonia
P24	P19-P29	Neonatal aspiration
P25	P19-P29	Interstitial emphysema and related conditions originating in the perinatal period
P26	P19-P29	Pulmonary hemorrhage originating in the perinatal period
P27	P19-P29	Chronic respiratory disease originating in the perinatal period
P28	P19-P29	Other respiratory conditions originating in the perinatal period
P29	P19-P29	Cardiovascular disorders originating in the perinatal period
P35	P35-P39	Congenital viral diseases
P36	P35-P39	Bacterial sepsis of newborn
P37	P35-P39	Other congenital infectious and parasitic diseases
P38	P35-P39	Omphalitis of newborn
P39	P35-P39	Other infections specific to the perinatal period
P50	P50-P61	Newborn affected by intrauterine (fetal) blood loss
P51	P50-P61	Umbilical hemorrhage of newborn
P52	P50-P61	Intracranial nontraumatic hemorrhage of newborn
P53	P50-P61	Hemorrhagic disease of newborn
P54	P50-P61	Other neonatal hemorrhages
P55	P50-P61	Hemolytic disease of newborn
P56	P50-P61	Hydrops fetalis due to hemolytic disease
P57	P50-P61	Kernicterus
P58	P50-P61	Neonatal jaundice due to other excessive hemolysis
P59	P50-P61	Neonatal jaundice from other and unspecified causes
P60	P50-P61	Disseminated intravascular coagulation of newborn
P61	P50-P61	Other perinatal hematological disorders
P70	P70-P74	Transitory disorders of carbohydrate metabolism specific to newborn
P71	P70-P74	Transitory neonatal disorders of calcium and magnesium metabolism
P72	P70-P74	Other transitory neonatal endocrine disorders
P74	P70-P74	Other transitory neonatal electrolyte and metabolic disturbances
P76	P76-P78	Other intestinal obstruction of newborn
P77	P76-P78	Necrotizing enterocolitis of newborn
P78	P76-P78	Other perinatal digestive system disorders
P80	P80-P83	Hypothermia of newborn
P81	P80-P83	Other disturbances of temperature regulation of newborn
P83	P80-P83	Other conditions of integument specific to newborn
P84	P84	Other problems with newborn
P90	P90-P96	Convulsions of newborn
P91	P90-P96	Other disturbances of cerebral status of newborn
P92	P90-P96	Feeding problems of newborn
P93	P90-P96	Reactions and intoxications due to drugs administered to newborn
P94	P90-P96	Disorders of muscle tone of newborn
P95	P90-P96	Stillbirth
P96	P90-P96	Other conditions originating in the perinatal period
Q00	Q00-Q07	Anencephaly and similar malformations
Q01	Q00-Q07	Encephalocele
Q02	Q00-Q07	Microcephaly
Q03	Q00-Q07	Congenital hydrocephalus
Q04	Q00-Q07	Other congenital malformations of brain
Q05	Q00-Q07	Spina bifida
Q07	Q00-Q07	Other congenital malformations of nervous system
Q10	Q10-Q18	Congenital malformations of eyelid, lacrimal apparatus and orbit
Q11	Q10-Q18	Anophthalmos, microphthalmos and macrophthalmos
Q12	Q10-Q18	Congenital lens malformations
Q13	Q10-Q18	Congenital malformations of anterior segment of eye
Q14	Q10-Q18	Congenital malformations of posterior segment of eye
Q15	Q10-Q18	Other congenital malformations of eye
Q16	Q10-Q18	Congenital malformations of ear causing impairment of hearing
Q17	Q10-Q18	Other congenital malformations of ear
Q18	Q10-Q18	Other congenital malformations of face and neck
Q20	Q20-Q28	Congenital malformations of cardiac chambers and connections
Q21	Q20-Q28	Congenital malformations of cardiac septa
Q22	Q20-Q28	Congenital malformations of pulmonary and tricuspid valves
Q23	Q20-Q28	Congenital malformations of aortic and mitral valves
Q24	Q20-Q28	Other congenital malformations of heart
Q25	Q20-Q28	Congenital malformations of great arteries
Q26	Q20-Q28	Congenital malformations of great veins
Q27	Q20-Q28	Other congenital malformations of peripheral vascular system
Q28	Q20-Q28	Other congenital malformations of circulatory system
Q30	Q30-Q34	Congenital malformations of nose
Q31	Q30-Q34	Congenital malformations of larynx
Q32	Q30-Q34	Congenital malformations of trachea and bronchus
Q33	Q30-Q34	Congenital malformations of lung
Q34	Q30-Q34	Other congenital malformations of respiratory system
Q35	Q35-Q37	Cleft palate
Q36	Q35-Q37	Cleft lip
Q37	Q35-Q37	Cleft palate with cleft lip
Q38	Q38-Q45	Other congenital malformations of tongue, mouth and pharynx
Q39	Q38-Q45	Congenital malformations of esophagus
Q40	Q38-Q45	Other congenital malformations of upper alimentary tract
Q41	Q38-Q45	Congenital absence, atresia and stenosis of small intestine
Q42	Q38-Q45	Congenital absence, atresia and stenosis of large intestine
Q43	Q38-Q45	Other congenital malformations of intestine
Q44	Q38-Q45	Congenital malformations of gallbladder, bile ducts and liver
Q45	Q38-Q45	Other congenital malformations of digestive system
Q50	Q50-Q56	Congenital malformations of ovaries, fallopian tubes and broad ligaments
Q51	Q50-Q56	Congenital malformations of uterus and cervix
Q52	Q50-Q56	Other congenital malformations of female genitalia
Q53	Q50-Q56	Undescended and ectopic testicle
Q54	Q50-Q56	Hypospadias
Q55	Q50-Q56	Other congenital malformations of male genital organs
Q56	Q50-Q56	Indeterminate sex and pseudohermaphroditism
Q60	Q60-Q64	Renal agenesis and other reduction defects of kidney
Q61	Q60-Q64	Cystic kidney disease
Q62	Q60-Q64	Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q63	Q60-Q64	Other congenital malformations of kidney
Q64	Q60-Q64	Other congenital malformations of urinary system
Q65	Q65-Q79	Congenital deformities of hip
Q66	Q65-Q79	Congenital deformities of feet
Q67	Q65-Q79	Congenital musculoskeletal deformities of head, face, spine and chest
Q68	Q65-Q79	Other congenital musculoskeletal deformities
Q69	Q65-Q79	Polydactyly
Q70	Q65-Q79	Syndactyly
Q71	Q65-Q79	Reduction defects of upper limb
Q72	Q65-Q79	Reduction defects of lower limb
Q73	Q65-Q79	Reduction defects of unspecified limb
Q74	Q65-Q79	Other congenital malformations of limb(s)
Q75	Q65-Q79	Other congenital malformations of skull and face bones
Q76	Q65-Q79	Congenital malformations of spine and bony thorax
Q77	Q65-Q79	Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78	Q65-Q79	Other osteochondrodysplasias
Q79	Q65-Q79	Congenital malformations of musculoskeletal system, not elsewhere classified
Q80	Q80-Q89	Congenital ichthyosis
Q81	Q80-Q89	Epidermolysis bullosa
Q82	Q80-Q89	Other congenital malformations of skin
Q83	Q80-Q89	Congenital malformations of breast
Q84	Q80-Q89	Other congenital malformations of integument
Q85	Q80-Q89	Phakomatoses, not elsewhere classified
Q86	Q80-Q89	Congenital malformation syndromes due to known exogenous causes, not elsewhere classified
Q87	Q80-Q89	Other specified congenital malformation syndromes affecting multiple systems
Q89	Q80-Q89	Other congenital malformations, not elsewhere classified
Q90	Q90-Q99	Down syndrome
Q91	Q90-Q99	Trisomy 18 and Trisomy 13
Q92	Q90-Q99	Other trisomies and partial trisomies of the autosomes, not elsewhere classified
Q93	Q90-Q99	Monosomies and deletions from the autosomes, not elsewhere classified
Q95	Q90-Q99	Balanced rearrangements and structural markers, not elsewhere classified
Q96	Q90-Q99	Turner's syndrome
Q97	Q90-Q99	Other sex chromosome abnormalities, female phenotype, not elsewhere classified
Q98	Q90-Q99	Other sex chromosome abnormalities, male phenotype, not elsewhere classified
Q99	Q90-Q99	Other chromosome abnormalities, not elsewhere classified
R00	R00-R09	Abnormalities of heart beat
R01	R00-R09	Cardiac murmurs and other cardiac sounds
R03	R00-R09	Abnormal blood-pressure reading, without diagnosis
R04	R00-R09	Hemorrhage from respiratory passages
R05	R00-R09	Cough
R06	R00-R09	Abnormalities of breathing
R07	R00-R09	Pain in throat and chest
R09	R00-R09	Other symptoms and signs involving the circulatory and respiratory system
R10	R10-R19	Abdominal and pelvic pain
R11	R10-R19	Nausea and vomiting
R12	R10-R19	Heartburn
R13	R10-R19	Aphagia and dysphagia
R14	R10-R19	Flatulence and related conditions
R15	R10-R19	Fecal incontinence
R16	R10-R19	Hepatomegaly and splenomegaly, not elsewhere classified
R17	R10-R19	Unspecified jaundice
R18	R10-R19	Ascites
R19	R10-R19	Other symptoms and signs involving the digestive system and abdomen
R20	R20-R23	Disturbances of skin sensation
R21	R20-R23	Rash and other nonspecific skin eruption
R22	R20-R23	Localized swelling, mass and lump of skin and subcutaneous tissue
R23	R20-R23	Other skin changes
R25	R25-R29	Abnormal involuntary movements
R26	R25-R29	Abnormalities of gait and mobility
R27	R25-R29	Other lack of coordination
R29	R25-R29	Other symptoms and signs involving the nervous and musculoskeletal systems
R30	R30-R39	Pain associated with micturition
R31	R30-R39	Hematuria
R32	R30-R39	Unspecified urinary incontinence
R33	R30-R39	Retention of urine
R34	R30-R39	Anuria and oliguria
R35	R30-R39	Polyuria
R36	R30-R39	Urethral discharge
R37	R30-R39	Sexual dysfunction, unspecified
R39	R30-R39	Other and unspecified symptoms and signs involving the genitourinary system
R40	R40-R46	Somnolence, stupor and coma
R41	R40-R46	Other symptoms and signs involving cognitive functions and awareness
R42	R40-R46	Dizziness and giddiness
R43	R40-R46	Disturbances of smell and taste
R44	R40-R46	Other symptoms and signs involving general sensations and perceptions
R45	R40-R46	Symptoms and signs involving emotional state
R46	R40-R46	Symptoms and signs involving appearance and behavior
R47	R47-R49	Speech disturbances, not elsewhere classified
R48	R47-R49	Dyslexia and other symbolic dysfunctions, not elsewhere classified
R49	R47-R49	Voice and resonance disorders
R50	R50-R69	Fever of other and unknown origin
R51	R50-R69	Headache
R52	R50-R69	Pain, unspecified
R53	R50-R69	Malaise and fatigue
R54	R50-R69	Age-related physical debility
R55	R50-R69	Syncope and collapse
R56	R50-R69	Convulsions, not elsewhere classified
R57	R50-R69	Shock, not elsewhere classified
R58	R50-R69	Hemorrhage, not elsewhere classified
R59	R50-R69	Enlarged lymph nodes
R60	R50-R69	Edema, not elsewhere classified
R61	R50-R69	Generalized hyperhidrosis
R62	R50-R69	Lack of expected normal physiological development in childhood and adults
R63	R50-R69	Symptoms and signs concerning food and fluid intake
R64	R50-R69	Cachexia
R65	R50-R69	Symptoms and signs specifically associated with systemic inflammation and infection
R68	R50-R69	Other general symptoms and signs
R69	R50-R69	Illness, unspecified
R70	R70-R79	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R71	R70-R79	Abnormality of red blood cells
R73	R70-R79	Elevated blood glucose level
R74	R70-R79	Abnormal serum enzyme levels
R75	R70-R79	Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
R76	R70-R79	Other abnormal immunological findings in serum
R77	R70-R79	Other abnormalities of plasma proteins
R78	R70-R79	Findings of drugs and other substances, not normally found in blood
R79	R70-R79	Other abnormal findings of blood chemistry
R80	R80-R82	Proteinuria
R81	R80-R82	Glycosuria
R82	R80-R82	Other and unspecified abnormal findings in urine
R83	R83-R89	Abnormal findings in cerebrospinal fluid
R84	R83-R89	Abnormal findings in specimens from respiratory organs and thorax
R85	R83-R89	Abnormal findings in specimens from digestive organs and abdominal cavity
R86	R83-R89	Abnormal findings in specimens from male genital organs
R87	R83-R89	Abnormal findings in specimens from female genital organs
R88	R83-R89	Abnormal findings in other body fluids and substances
R89	R83-R89	Abnormal findings in specimens from other organs, systems and tissues
R90	R90-R94	Abnormal findings on diagnostic imaging of central nervous system
R91	R90-R94	Abnormal findings on diagnostic imaging of lung
R92	R90-R94	Abnormal and inconclusive findings on diagnostic imaging of breast
R93	R90-R94	Abnormal findings on diagnostic imaging of other body structures
R94	R90-R94	Abnormal results of function studies
R97	R97	Abnormal tumor markers
R99	R99	Ill-defined and unknown cause of mortality
S00	S00-S09	Superficial injury of head
S01	S00-S09	Open wound of head
S02	S00-S09	Fracture of skull and facial bones
S03	S00-S09	Dislocation and sprain of joints and ligaments of head
S04	S00-S09	Injury of cranial nerve
S05	S00-S09	Injury of eye and orbit
S06	S00-S09	Intracranial injury
S07	S00-S09	Crushing injury of head
S08	S00-S09	Avulsion and traumatic amputation of part of head
S09	S00-S09	Other and unspecified injuries of head
S10	S10-S19	Superficial injury of neck
S11	S10-S19	Open wound of neck
S12	S10-S19	Fracture of cervical vertebra and other parts of neck
S13	S10-S19	Dislocation and sprain of joints and ligaments at neck level
S14	S10-S19	Injury of nerves and spinal cord at neck level
S15	S10-S19	Injury of blood vessels at neck level
S16	S10-S19	Injury of muscle, fascia and tendon at neck level
S17	S10-S19	Crushing injury of neck
S19	S10-S19	Other specified and unspecified injuries of neck
S20	S20-S29	Superficial injury of thorax
S21	S20-S29	Open wound of thorax
S22	S20-S29	Fracture of rib(s), sternum and thoracic spine
S23	S20-S29	Dislocation and sprain of joints and ligaments of thorax
S24	S20-S29	Injury of nerves and spinal cord at thorax level
S25	S20-S29	Injury of blood vessels of thorax
S26	S20-S29	Injury of heart
S27	S20-S29	Injury of other and unspecified intrathoracic organs
S28	S20-S29	Crushing injury of thorax, and traumatic amputation of part of thorax
S29	S20-S29	Other and unspecified injuries of thorax
S30	S30-S39	Superficial injury of abdomen, lower back, pelvis and external genitals
S31	S30-S39	Open wound of abdomen, lower back, pelvis and external genitals
S32	S30-S39	Fracture of lumbar spine and pelvis
S33	S30-S39	Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
S34	S30-S39	Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level
S35	S30-S39	Injury of blood vessels at abdomen, lower back and pelvis level
S36	S30-S39	Injury of intra-abdominal organs
S37	S30-S39	Injury of urinary and pelvic organs
S38	S30-S39	Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals
S39	S30-S39	Other and unspecified injuries of abdomen, lower back, pelvis and external genitals
S40	S40-S49	Superficial injury of shoulder and upper arm
S41	S40-S49	Open wound of shoulder and upper arm
S42	S40-S49	Fracture of shoulder and upper arm
S43	S40-S49	Dislocation and sprain of joints and ligaments of shoulder girdle
S44	S40-S49	Injury of nerves at shoulder and upper arm level
S45	S40-S49	Injury of blood vessels at shoulder and upper arm level
S46	S40-S49	Injury of muscle, fascia and tendon at shoulder and upper arm level
S47	S40-S49	Crushing injury of shoulder and upper arm
S48	S40-S49	Traumatic amputation of shoulder and upper arm
S49	S40-S49	Other and unspecified injuries of shoulder and upper arm
S50	S50-S59	Superficial injury of elbow and forearm
S51	S50-S59	Open wound of elbow and forearm
S52	S50-S59	Fracture of forearm
S53	S50-S59	Dislocation and sprain of joints and ligaments of elbow
S54	S50-S59	Injury of nerves at forearm level
S55	S50-S59	Injury of blood vessels at forearm level
S56	S50-S59	Injury of muscle, fascia and tendon at forearm level
S57	S50-S59	Crushing injury of elbow and forearm
S58	S50-S59	Traumatic amputation of elbow and forearm
S59	S50-S59	Other and unspecified injuries of elbow and forearm
S60	S60-S69	Superficial injury of wrist, hand and fingers
S61	S60-S69	Open wound of wrist, hand and fingers
S62	S60-S69	Fracture at wrist and hand level
S63	S60-S69	Dislocation and sprain of joints and ligaments at wrist and hand level
S64	S60-S69	Injury of nerves at wrist and hand level
S65	S60-S69	Injury of blood vessels at wrist and hand level
S66	S60-S69	Injury of muscle, fascia and tendon at wrist and hand level
S67	S60-S69	Crushing injury of wrist, hand and fingers
S68	S60-S69	Traumatic amputation of wrist, hand and fingers
S69	S60-S69	Other and unspecified injuries of wrist, hand and finger(s)
S70	S70-S79	Superficial injury of hip and thigh
S71	S70-S79	Open wound of hip and thigh
S72	S70-S79	Fracture of femur
S73	S70-S79	Dislocation and sprain of joint and ligaments of hip
S74	S70-S79	Injury of nerves at hip and thigh level
S75	S70-S79	Injury of blood vessels at hip and thigh level
S76	S70-S79	Injury of muscle, fascia and tendon at hip and thigh level
S77	S70-S79	Crushing injury of hip and thigh
S78	S70-S79	Traumatic amputation of hip and thigh
S79	S70-S79	Other and unspecified injuries of hip and thigh
S80	S80-S89	Superficial injury of knee and lower leg
S81	S80-S89	Open wound of knee and lower leg
S82	S80-S89	Fracture of lower leg, including ankle
S83	S80-S89	Dislocation and sprain of joints and ligaments of knee
S84	S80-S89	Injury of nerves at lower leg level
S85	S80-S89	Injury of blood vessels at lower leg level
S86	S80-S89	Injury of muscle, fascia and tendon at lower leg level
S87	S80-S89	Crushing injury of lower leg
S88	S80-S89	Traumatic amputation of lower leg
S89	S80-S89	Other and unspecified injuries of lower leg
S90	S90-S99	Superficial injury of ankle, foot and toes
S91	S90-S99	Open wound of ankle, foot and toes
S92	S90-S99	Fracture of foot and toe, except ankle
S93	S90-S99	Dislocation and sprain of joints and ligaments at ankle, foot and toe level
S94	S90-S99	Injury of nerves at ankle and foot level
S95	S90-S99	Injury of blood vessels at ankle and foot level
S96	S90-S99	Injury of muscle and tendon at ankle and foot level
S97	S90-S99	Crushing injury of ankle and foot
S98	S90-S99	Traumatic amputation of ankle and foot
S99	S90-S99	Other and unspecified injuries of ankle and foot
T07	T07	Unspecified multiple injuries
T14	T14	Injury of unspecified body region
T15	T15-T19	Foreign body on external eye
T16	T15-T19	Foreign body in ear
T17	T15-T19	Foreign body in respiratory tract
T18	T15-T19	Foreign body in alimentary tract
T19	T15-T19	Foreign body in genitourinary tract
T20	T20-T25	Burn and corrosion of head, face, and neck
T21	T20-T25	Burn and corrosion of trunk
T22	T20-T25	Burn and corrosion of shoulder and upper limb, except wrist and hand
T23	T20-T25	Burn and corrosion of wrist and hand
T24	T20-T25	Burn and corrosion of lower limb, except ankle and foot
T25	T20-T25	Burn and corrosion of ankle and foot
T26	T26-T28	Burn and corrosion confined to eye and adnexa
T27	T26-T28	Burn and corrosion of respiratory tract
T28	T26-T28	Burn and corrosion of other internal organs
T30	T30-T32	Burn and corrosion, body region unspecified
T31	T30-T32	Burns classified according to extent of body surface involved
T32	T30-T32	Corrosions classified according to extent of body surface involved
T33	T33-T34	Superficial frostbite
T34	T33-T34	Frostbite with tissue necrosis
T36	T36-T50	Poisoning by, adverse effect of and underdosing of systemic antibiotics
T37	T36-T50	Poisoning by, adverse effect of and underdosing of other systemic anti-infectives and antiparasitics
T38	T36-T50	Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified
T39	T36-T50	Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics
T40	T36-T50	Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]
T41	T36-T50	Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases
T42	T36-T50	Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs
T43	T36-T50	Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified
T44	T36-T50	Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system
T45	T36-T50	Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified
T46	T36-T50	Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system
T47	T36-T50	Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system
T48	T36-T50	Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system
T49	T36-T50	Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs
T50	T36-T50	Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances
T51	T51-T65	Toxic effect of alcohol
T52	T51-T65	Toxic effect of organic solvents
T53	T51-T65	Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons
T54	T51-T65	Toxic effect of corrosive substances
T55	T51-T65	Toxic effect of soaps and detergents
T56	T51-T65	Toxic effect of metals
T57	T51-T65	Toxic effect of other inorganic substances
T58	T51-T65	Toxic effect of carbon monoxide
T59	T51-T65	Toxic effect of other gases, fumes and vapors
T60	T51-T65	Toxic effect of pesticides
T61	T51-T65	Toxic effect of noxious substances eaten as seafood
T62	T51-T65	Toxic effect of other noxious substances eaten as food
T63	T51-T65	Toxic effect of contact with venomous animals and plants
T64	T51-T65	Toxic effect of aflatoxin and other mycotoxin food contaminants
T65	T51-T65	Toxic effect of other and unspecified substances
T66	T66-T78	Radiation sickness, unspecified
T67	T66-T78	Effects of heat and light
T68	T66-T78	Hypothermia
T69	T66-T78	Other effects of reduced temperature
T70	T66-T78	Effects of air pressure and water pressure
T71	T66-T78	Asphyxiation
T73	T66-T78	Effects of other deprivation
T74	T66-T78	Adult and child abuse, neglect and other maltreatment, confirmed
T75	T66-T78	Other and unspecified effects of other external causes
T76	T66-T78	Adult and child abuse, neglect and other maltreatment, suspected
T78	T66-T78	Adverse effects, not elsewhere classified
T79	T79	Certain early complications of trauma, not elsewhere classified
T80	T80-T88	Complications following infusion, transfusion and therapeutic injection
T81	T80-T88	Complications of procedures, not elsewhere classified
T82	T80-T88	Complications of cardiac and vascular prosthetic devices, implants and grafts
T83	T80-T88	Complications of genitourinary prosthetic devices, implants and grafts
T84	T80-T88	Complications of internal orthopedic prosthetic devices, implants and grafts
T85	T80-T88	Complications of other internal prosthetic devices, implants and grafts
T86	T80-T88	Complications of transplanted organs and tissue
T87	T80-T88	Complications peculiar to reattachment and amputation
T88	T80-T88	Other complications of surgical and medical care, not elsewhere classified
V00	V00-V09	Pedestrian conveyance accident
V01	V00-V09	Pedestrian injured in collision with pedal cycle
V02	V00-V09	Pedestrian injured in collision with two- or three-wheeled motor vehicle
V03	V00-V09	Pedestrian injured in collision with car, pick-up truck or van
V04	V00-V09	Pedestrian injured in collision with heavy transport vehicle or bus
V05	V00-V09	Pedestrian injured in collision with railway train or railway vehicle
V06	V00-V09	Pedestrian injured in collision with other nonmotor vehicle
V09	V00-V09	Pedestrian injured in other and unspecified transport accidents
V10	V10-V19	Pedal cycle rider injured in collision with pedestrian or animal
V11	V10-V19	Pedal cycle rider injured in collision with other pedal cycle
V12	V10-V19	Pedal cycle rider injured in collision with two- or three-wheeled motor vehicle
V13	V10-V19	Pedal cycle rider injured in collision with car, pick-up truck or van
V14	V10-V19	Pedal cycle rider injured in collision with heavy transport vehicle or bus
V15	V10-V19	Pedal cycle rider injured in collision with railway train or railway vehicle
V16	V10-V19	Pedal cycle rider injured in collision with other nonmotor vehicle
V17	V10-V19	Pedal cycle rider injured in collision with fixed or stationary object
V18	V10-V19	Pedal cycle rider injured in noncollision transport accident
V19	V10-V19	Pedal cycle rider injured in other and unspecified transport accidents
V20	V20-V29	Motorcycle rider injured in collision with pedestrian or animal
V21	V20-V29	Motorcycle rider injured in collision with pedal cycle
V22	V20-V29	Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V23	V20-V29	Motorcycle rider injured in collision with car, pick-up truck or van
V24	V20-V29	Motorcycle rider injured in collision with heavy transport vehicle or bus
V25	V20-V29	Motorcycle rider injured in collision with railway train or railway vehicle
V26	V20-V29	Motorcycle rider injured in collision with other nonmotor vehicle
V27	V20-V29	Motorcycle rider injured in collision with fixed or stationary object
V28	V20-V29	Motorcycle rider injured in noncollision transport accident
V29	V20-V29	Motorcycle rider injured in other and unspecified transport accidents
V30	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V31	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V32	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V33	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van
V34	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V35	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V36	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V37	V30-V39	Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V38	V30-V39	Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V39	V30-V39	Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
V40	V40-V49	Car occupant injured in collision with pedestrian or animal
V41	V40-V49	Car occupant injured in collision with pedal cycle
V42	V40-V49	Car occupant injured in collision with two- or three-wheeled motor vehicle
V43	V40-V49	Car occupant injured in collision with car, pick-up truck or van
V44	V40-V49	Car occupant injured in collision with heavy transport vehicle or bus
V45	V40-V49	Car occupant injured in collision with railway train or railway vehicle
V46	V40-V49	Car occupant injured in collision with other nonmotor vehicle
V47	V40-V49	Car occupant injured in collision with fixed or stationary object
V48	V40-V49	Car occupant injured in noncollision transport accident
V49	V40-V49	Car occupant injured in other and unspecified transport accidents
V50	V50-V59	Occupant of pick-up truck or van injured in collision with pedestrian or animal
V51	V50-V59	Occupant of pick-up truck or van injured in collision with pedal cycle
V52	V50-V59	Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle
V53	V50-V59	Occupant of pick-up truck or van injured in collision with car, pick-up truck or van
V54	V50-V59	Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
V55	V50-V59	Occupant of pick-up truck or van injured in collision with railway train or railway vehicle
V56	V50-V59	Occupant of pick-up truck or van injured in collision with other nonmotor vehicle
V57	V50-V59	Occupant of pick-up truck or van injured in collision with fixed or stationary object
V58	V50-V59	Occupant of pick-up truck or van injured in noncollision transport accident
V59	V50-V59	Occupant of pick-up truck or van injured in other and unspecified transport accidents
V60	V60-V69	Occupant of heavy transport vehicle injured in collision with pedestrian or animal
V61	V60-V69	Occupant of heavy transport vehicle injured in collision with pedal cycle
V62	V60-V69	Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle
V63	V60-V69	Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van
V64	V60-V69	Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus
V65	V60-V69	Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle
V66	V60-V69	Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle
V67	V60-V69	Occupant of heavy transport vehicle injured in collision with fixed or stationary object
V68	V60-V69	Occupant of heavy transport vehicle injured in noncollision transport accident
V69	V60-V69	Occupant of heavy transport vehicle injured in other and unspecified transport accidents
V70	V70-V79	Bus occupant injured in collision with pedestrian or animal
V71	V70-V79	Bus occupant injured in collision with pedal cycle
V72	V70-V79	Bus occupant injured in collision with two- or three-wheeled motor vehicle
V73	V70-V79	Bus occupant injured in collision with car, pick-up truck or van
V74	V70-V79	Bus occupant injured in collision with heavy transport vehicle or bus
V75	V70-V79	Bus occupant injured in collision with railway train or railway vehicle
V76	V70-V79	Bus occupant injured in collision with other nonmotor vehicle
V77	V70-V79	Bus occupant injured in collision with fixed or stationary object
V78	V70-V79	Bus occupant injured in noncollision transport accident
V79	V70-V79	Bus occupant injured in other and unspecified transport accidents
V80	V80-V89	Animal-rider or occupant of animal-drawn vehicle injured in transport accident
V81	V80-V89	Occupant of railway train or railway vehicle injured in transport accident
V82	V80-V89	Occupant of powered streetcar injured in transport accident
V83	V80-V89	Occupant of special vehicle mainly used on industrial premises injured in transport accident
V84	V80-V89	Occupant of special vehicle mainly used in agriculture injured in transport accident
V85	V80-V89	Occupant of special construction vehicle injured in transport accident
V86	V80-V89	Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident
V87	V80-V89	Traffic accident of specified type but victim's mode of transport unknown
V88	V80-V89	Nontraffic accident of specified type but victim's mode of transport unknown
V89	V80-V89	Motor- or nonmotor-vehicle accident, type of vehicle unspecified
V90	V90-V94	Drowning and submersion due to accident to watercraft
V91	V90-V94	Other injury due to accident to watercraft
V92	V90-V94	Drowning and submersion due to accident on board watercraft, without accident to watercraft
V93	V90-V94	Other injury due to accident on board watercraft, without accident to watercraft
V94	V90-V94	Other and unspecified water transport accidents
V95	V95-V97	Accident to powered aircraft causing injury to occupant
V96	V95-V97	Accident to nonpowered aircraft causing injury to occupant
V97	V95-V97	Other specified air transport accidents
V98	V98-V99	Other specified transport accidents
V99	V98-V99	Unspecified transport accident
W00	W00-W19	Fall due to ice and snow
W01	W00-W19	Fall on same level from slipping, tripping and stumbling
W03	W00-W19	Other fall on same level due to collision with another person
W04	W00-W19	Fall while being carried or supported by other persons
W05	W00-W19	Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter
W06	W00-W19	Fall from bed
W07	W00-W19	Fall from chair
W08	W00-W19	Fall from other furniture
W09	W00-W19	Fall on and from playground equipment
W10	W00-W19	Fall on and from stairs and steps
W11	W00-W19	Fall on and from ladder
