licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P01-P1638-2024	ELMsHAVEN PHARMACY	ELMsHAVEN (PVT) LTD	2774 AMAVENI SHOPPING CENTRE	Pharmacy in any other location	KWEKWE	06/30/2025	
P05-P1155-2024	EMERGENCY PHARMACY	HEALTHSTONE PHARMACEUTICALS (PVT) LTD	88 R. MUGABE WAY	Pharmacy located in the CBD	BULAWAYO	01/31/2025	
P01-P1218-2024	EMPIRE PHARMACY KAMFINSA	CBMA ENTERPRISES (PVT) LTD	"SHOP 123 KAMFINSA SHOPPING CENTRE , GREENDALE"	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1913-2024	ENSWIN PHARMACY	ENSWIN TRADING (PVT) LTD	HIGHFIELD SHOP NO 3 JABABVU Dr MACHIPISA	Pharmacy in any other location	HARARE	11/30/2025	
I02-P0119-2023	ESGAR MEDICAL CENTRE	JAMBREN INVESTMENTS (PVT) LTD	"1256-25TH RD, TYNWALD IND AREA"	Clinics: Class B	HARARE	09/30/2024	
P06-P1423-2024	ESIGODINI PHARMACY	REAL HAPPENING INVESTMENTS	SHOP 4 ZUKA COMPLEX	Pharmacy in rural area	BULAWAYO	03/31/2025	
I02-P0033-2023	EUREKA MINE CLINIC	RAFFERTY INVESTMENTS (PVT) LTD	EUREKA GOLD MINE	Clinics: Class B	GURUVE	09/30/2024	
P05-P1953-2024	EVOLUTION PHARMACY	INNOVATION PHARMACEUTICALS (PVT) LTD		Pharmacy located in the CBD	MUTARE	02/28/2025	
P01-P1307-2024	EVOLUTION PHARMACY	INNOVATION PHARMACEUTICALS P/ L	"SHOP 1 STAND 10377, KUWADZANA 2"	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1297-2024	EVOLUTION PHARMACY-RUWA	INNOVATION PHARMACEUTICALS (PVT) LTD	3788 SAN SAUCI ROAD	Pharmacy in any other location	RUWA	12/31/2025	
P01-P1410-2024	EXPRESS CARE PHARMACY	EXPRESS PHARMACEUTICALS PVT LTD	46 3RD AND CENTRAL AVENUE	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1588-2024	EXPRESS CARE PHARMACY NEWLANDS	EXPRESS PHARMACEUTICALS (PVT) LTD	SHOP 1 MON REPOS BUILDING NEWLANDS SHOPPING CENTRE	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1678-2024	EXPRESS PHARMACY	BREAKTHRU MINERALS (PVT) LTD	"CNR NGCEBETSHA & LUVEVE RD, MZILIKAZI"	Pharmacy in any other location	BULAWAYO	09/30/2025	
P01-P1735-2024	F C PHARMACY	VARASA INVESTMENTS (PVT) LTD	SPAR COMPLEX 127 MAIN STREET	Pharmacy in any other location	GWERU	12/31/2025	
I03-P0243-2022	FACT CHIPINGE CLINIC	POPULATION SERVICES INTERNATIONAL	208 PHILLIP AVENUE	Clinics: Class C	CHIPINGE	09/30/2024	
P01-P1351-2024	FAITH PHARMACY	LIGHTERSHED INVESTMENT (PVT) LTD	"SHOP 5, SAGONDA COMPLEX, K2006 KATANGA"	Pharmacy in any other location	NORTON	09/30/2025	
I04-P0141-2023	FALCON COLLEGE	FALCON COLLEGE TRUST	12KM ON THE FALCON RD FRM	Clinics: Class D	ESIGODINI	09/30/2025	
P01-P1479-2024	FAMILY CARE PHARMACY - MARONDERA	ROCKMAROH (PVT) LTD	STAND 1422 CNR PINE AND MAIN STREET	Pharmacy in any other location	MARONDERA	12/31/2025	
P01-P1436-2024	FAMILY CARE PHARMACY (CHISIPITE)	ROCKMAROH (PVT) LTD	"11 HINDHEAD ROAD, CHISIPITE"	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1883-2024	FAMILY HEALTH PHARMACY	NOFRAN TRADING (PVT) LTD	STAND 16068 UNIT G SEKE	Pharmacy in any other location	CHITUNGWIZA	11/30/2025	
P01-P1208-2024	FAMILY PHARMACY	TAPMAK MEDICAL & SURGICAL SUPPLIERS (PVT) LTD	STAND 16967 RUNYARARO SOUTH WEST	Pharmacy in any other location	MASVINGO	04/30/2025	
P01-P1708-2024	FHC PHARMACIES	FIDELITY HEALTH CARE PHARMACIES P/L	19 NICOZ HOUSE CNR FIRST ST/N MANDELA	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1212-2024	FIFE AVENUE MEDICAL CENTRE PHARMACY	PREMIER SERVICE MEDICAL INVESTMENTS	186 FIFE AVENUE	Pharmacy in any other location	HARARE	02/28/2025	
W01-P0186-2024	FIFTY NINE FIFTY	FIFTY NINE FIFTY (PVT) LTD	STD 152 BAY 6 CAVAN COMPLEX MUTARE RD MsASA	Wholesalers	HARARE	07/31/2025	
P06-P0781-2024	FIL-MED PHARMACY	FIL-MED PHARMACY (PVT) LTD	2444 MTHWAKAZI BUS. CENTRE	Pharmacy in rural area	FILABUSI	12/31/2025	
P01-P1501-2024	FIRST CARE PHARMACY	PROMED TRADING (PVT) LTD	"2 HERMES CRT, WEST RD/LOMAGUNDI RD"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1385-2024	FIRST DAY AND NIGHT PHARMACY	TAKAMIRIRATSITSI MATEKETA	"VICTORIA HSE,50 H.CHITEPO ST"	Pharmacy in any other location	KADOMA	12/31/2025	
P05-P1834-2024	FIRST HEALTH PHARMACY	OCEANS ENTERPRISES (PVT) LTD	STAND 14589 CNR SIMON MUZENDA & R.G. MUGABE	Pharmacy located in the CBD	HARARE	07/31/2025	
P05-P1253-2024	FIRST MUTUAL PHARMACIES	FIRST MUTUAL PHARMACIES (PVT) LTD	"SHOP 3 CORNERED BLD, R. MUGABE & 2ND"	Pharmacy located in the CBD	HARARE	05/31/2025	
P01-P1282-2024	FIRST MUTUAL PHARMACIES	FIRST MUTUAL PHARMACIES (PVT) LTD	LOT 6 STD 3163 SOUTHERTON ZORORO HOSTELS	Pharmacy in any other location	HARARE	09/30/2025	
P05-P1254-2024	FIRST MUTUAL PHARMACIES - 94 CENTRAL	FIRST MUTUAL PHARMACIES (PVT) LTD	94 CENTRAL AVENUE	Pharmacy located in the CBD	HARARE	11/30/2025	
P02-P1262-2024	FIRST MUTUAL PHARMACIES - BRYANSTON	FIRST MUTUAL PHARMACIES (PVT) LTD	"SHOP 1, BRYANSTON HOUSE"	Pharmacies: Restricted	HARARE	05/31/2025	
P05-P1252-2024	FIRST MUTUAL PHARMACIES - MUTARE	FIRST MUTUAL PHARMACIES (PVT) LTD	95 HERBET CHITEPO AVE	Pharmacy located in the CBD	MUTARE	12/31/2025	
P05-P1283-2024	FIRST MUTUAL PHARMACIES- BULAWAYO BRANCH	FIRST MUTUAL PHARMACIES (PVT) LTD	93 J M NKOMO STREET	Pharmacy located in the CBD	BULAWAYO	11/30/2025	
P05-P1263-2024	FIRST MUTUAL PHARMACIES- GWERU	FIRST MUTUAL PHARMACIES (PVT) LTD	SHOP 7 BAHADUR CENTRE	Pharmacy located in the CBD	GWERU	12/31/2025	
W01-P0084-2023	FIRSTLINE PHARMACEUTICALS	FIRSTLINE PHARMACEUTICALS (PVT) LTD	SHOP 4 STRATHAVEN S/CENTRE EASTWING	Wholesalers	HARARE	03/31/2025	
P01-P1179-2024	FIT PHARMACY	CANA PHARMACY (PVT) LTD	6940 CHIZANGA BUSS. CENTRE	Pharmacy in any other location	MUTOKO	02/28/2025	
W01-P0161-2024	FIVET ANIMAL HEALTH	V & S HEALTH CARE (PVT) LTD	"2 TELFORD RD, GRANITESIDE"	Wholesalers	HARARE	03/31/2025	
W01-P0211-2024	FIVET ANIMAL HEALTH	V & S HEALTHCARE (PVT) LTD	243 JASON MOYO STREET	Wholesalers	BULAWAYO	03/31/2025	
W01-P0213-2024	FLANCON INVESTMENTS	FLANCON INVESTMENTS (PVT) LTD	4990 CRN PAISLEY & LYTON ROADS	Wholesalers	HARARE	03/31/2025	
P01-P1793-2024	FLEX MED. PHARMACIES ZIMBABWE	SAYOUT MEDICAL & SURGICAL SUPPLIES (PVT) LTD	"SHOP 2 CABS BUILDING, KAMFINSA S/CENTRE"	Pharmacy in any other location	HARARE	02/28/2025	
P05-P1475-2024	FLIMAS PHARMACY	FLIMAS PHARMACY ( PVT) LTD	109 LEOPOLD TAKAWIRA STREET	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1432-2024	FORESTAL MACHIPISA PHARMACY	JOHN MATUKUTIRE	STD 4097 MACHIPISA HIGHFIELD	Pharmacy in any other location	HARARE	04/30/2025	
I02-P0186-2023	FORRESTER ESTATE CLINIC	FORRESTER ESTATES (PVT) LTD	FORRESTER ESTATES	Clinics: Class B	MVURWI	09/30/2024	
P01-P1415-2024	FOUNTAIN PHARMACY-BRAESIDE	BRAESIDE PHARMACY (PVT) LTD	"STD 16858 HORATIO AVE, BRAESIDE"	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1740-2024	FOUR SEASONS PHARMACY	FOUR SEASONS PHARMACY (PVT) LTD	"NO. 93, FIFE AVENUE"	Pharmacy in any other location	HARARE	10/31/2025	
I02-P0188-2023	FREDA REBECCA MINE CLINIC	ASHANTI GOLDFIELDS ZIMBABWE LIMITED	FREDA REBECCA MINE	Clinics: Class B	BINDURA	09/30/2024	
P01-P2024-2024	FREEWAY PHARMACY	EDGIRAY INVESTMENTS	21 SHOP 3 ROBERT MUGABE	Pharmacy in any other location	RUSAPE	05/31/2025	
P01-P1204-2024	GALAXY PHARMACY	HEMABEN INVESTMENTS (PVT) LTD	19722 UNIT O SEKE	Pharmacy in any other location	CHITUNGWIZA	03/31/2025	
P01-P1868-2024	GARIKAI PHARMACY	IGNATIUS ENTERPRISES(PVT) LTD	3116 DULIBADZIMU T/SHIP	Pharmacy in any other location	BEITBRIDGE	02/28/2025	
P01-P2027-2024	GATEWAY CARE PHARMACY	MEDMACRO (PBC)	"STAND NO 15706, DOMBOSHAVA ROAD"	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1849-2024	GCC PHARMACY	GCC PHARMACY (PVT) LTD	383 ENGINEERING HIGHFIELD	Pharmacy in any other location	HARARE	01/31/2025	
P05-P1524-2024	GETLIFE PHARMACY	GETLIFE PHARMACY	32 OAK STREET	Pharmacy located in the CBD	MARONDERA	02/28/2025	
P06-P1975-2024	GETWAY PHARMACY	GETWAY PHARMACY (PVT) LTD	1487 RUTENGA URBAN	Pharmacy in rural area	RUTENGA	03/31/2025	
P01-P0703-2023	GETWELL PHARMACY	GETWELL PHARMACY	"7098 WESTLEA S/CENTRE, WESTLEA"	Pharmacy in any other location	HARARE	03/31/2025	
P06-P2006-2024	GLAUDINA PHARMACY	SIMVAK (PVT) LTD	"NO. 95 MARWEDE ROAD,"	Pharmacy in any other location	ZVIMBA	04/30/2025	
P01-P1451-2024	GLIDANT PHARMACY	WAYMARG INVESTMENTS PBC	NO. 5768 CHIPADZE BUS TERMINUS	Pharmacy in any other location	BINDURA	10/31/2025	
P01-P1942-2024	GLOBAL PHARMACY	ROLESERVE INVESTMENTS	7328 LUSAKA	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1399-2024	GLOBAL PHARMACY	ROLESERVE INVESTMENTS(PVT) LTD	"SHOP 2, 9 MUKWATI STREET"	Pharmacy in any other location	KADOMA	02/28/2025	
P01-P1502-2024	GLOBAL PHARMACY- SOUTHLEA PARK	ROLESERVE INVESTMENTS (PVY) LTD	STAND 119 NICE DAY BUSINESS UNIT	Pharmacy in any other location	HARARE	09/30/2025	
W01-P0188-2024	GLOPHARM PVT LTD	GLOPHARM PVT LTD	79 BELVEDERE ROAD HARARE	Wholesalers	HARARE	05/31/2025	
P01-P1152-2024	GLORIMED PHARMACY	RAPHAMED PHARMACY (PVT) LTD	"2463, KAMBUZUMA SECTION 5"	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1940-2024	GOKWE PHARMACY	MUTORA PHARMACY (PVT) LTD	135 GOKWE TOWN CENTRE	Pharmacy in any other location	GOKWE	03/31/2025	
P01-P1935-2024	GOLD CLASS PHARMACY	AFRIPHARM MEDICAL (PVT) LTD	10767 CRN HIGHFIELD RD MAND MAINSTREET	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1934-2024	GOLDCLASS PHARMACY	GOLDCLASS PHARMACY (PVT) LTD	B64 CHILONGA DrIVE	Pharmacy in any other location	CHIREDZI	11/30/2025	
I03-P0225-2024	GOLDEN VALLEY MINE	GOLDEN VALLEY MINE CLINIC	"20KM PEG KADOMA-CHAKARI ROAD, KADOMA"	Clinics: Class C	KADOMA	09/30/2025	
P01-P1145-2024	GOLDENVIEW PHARMACY	GOLDENVIEW INVESTMENTS (PVT) LTD	"STD 18886 WENHAM CLOSE,"	Pharmacy in any other location	HARARE	04/30/2025	
I02-P0115-2023	GOLDFIELDS OF SHAMVA CLINIC	GOLDFIELDS OF SHAMVA (PVT) LTD	NO. 1 MUSAMBANYAMA ROAD	Clinics: Class B	SHAMVA	09/30/2024	
P05-P1804-2024	GOOD HOPE PHARMACY	RAYNMART INVESTMENTS PBC	23 JASON MOYO AVENUE	Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P1681-2024	GOOD SHEPHERD CHINHOYI	MANCERIC INVESTMENTS (PVT) LTD	260 COMMERCIAL STREET	Pharmacy located in the CBD	CHINHOYI	01/31/2025	
P01-P1272-2024	GOOD SHEPHERD PHARMACY	MANCERIC INVESTMENTS (PVT) LTD	"STAND 3342, TEEBOX COMPLEX NYAMHUNGA"	Pharmacy in any other location	KARIBA	11/30/2025	
P01-P1607-2024	GOOD SHEPHERD PHARMACY - MAHOMBEKOMBE	GOOD SHEPHERD PHARMACY	494/495 CAROBECK MAHOMBEKOMBE	Pharmacy in any other location	KARIBA	01/31/2025	
P01-P1668-2024	GOSHEN LIFE PHARMACY	ROYALGIFT INVESTMENTS (PVT) LTD	65 ALEXANDER AVENUE	Pharmacy located in the CBD	CHEGUTU	02/28/2025	
P01-P1241-2024	GOSHEN PHARMACY	GOSHEN PHARMACY	SHOP NO. 9	Pharmacy in any other location	CHINHOYI	03/31/2025	
I01-P0190-2023	GOZONYA CLINIC	HIPPO VALLEY ESTATES LIMITED	HIPPO VALLEY ESTATE SECTION 24	Clinics: Class A	CHIREDZI	09/30/2024	
P01-P1214-2024	GRACECHEM PHARMACY	DIMPLATS INVESTMENTS (PVT) LTD	8221 COWIE ROAD COLD COMFORT	Pharmacy in any other location	HARARE	01/31/2025	
P06-P1532-2024	GRACEPLUS PHARMACY	GRACEPLUS PHARMACY	93 B FARCHIG	Pharmacy in rural area	GURUVE	02/28/2025	
P01-P1750-2024	GRACIOUS PHARMACY	GRACIOUS HEALTH SERVICES (PVT) LTD	STAND 3003A DOMBORAMWARI EPWORTH	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1946-2024	GRANCHEM PHARMACY	GRANDCHEM PHARMACY (PVT) LTD	STAND 9312 ST MARYS	Pharmacy in any other location	CHITUNGWIZA	03/31/2025	
W01-P0215-2024	GRAND HEALTH PHARMACEUTICALS WHOLESALE	GRAND HEALTH PHARMACEUTICALS (PVT) LTD	17004 SANDE CRESCENT GRANITESIDE	Wholesalers	HARARE	05/31/2025	
P01-P1615-2024	GRANDCHEM PHARMACY	GRANDCHEM PHARMACY (PVT) LTD	SHOP NO. 1 STD 19277	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1613-2024	GRANDPAK PHARMACY	GRANDPAK PHARMACY (PVT) LTD	5105 CHIWARIDZO SHOPPING CENTRE	Pharmacy in any other location	BINDURA	12/31/2025	
P01-P1364-2024	GRANDPAK PHARMACY	GRANDPAK PHARMACY	7869 AERODrOME CENTRE	Pharmacy in any other location	BINDURA	12/31/2025	
W01-P0152-2024	GRANITESIDE CHEMICALS	GRANITESIDE CHEMICALS (PVT) LTD	"26 CRIPPS ROAD, GRANITESIDE"	Wholesalers	HARARE	05/31/2025	
P01-P1765-2024	GREENCROFT PHARMACY	MUNALDO ENTERPRISES (PVT) LTD	5 COLESBURY PARADE AVONLEA	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1366-2024	GREENDALE PHARMACY	PURPLE IVY PHARMACEUTICALS (PVT) LTD	36 RHODESVILLE AVE GREENDALE	Pharmacy in any other location	HARARE	12/31/2025	
P05-P1924-2024	GREENSVIEW PHARMACY	NYAMENI PHARMACY	SHOP 1 NO. 12 H. CHITEPO STREET	Pharmacy located in the CBD	RUSAPE	02/28/2025	
P01-P1789-2024	GREENSVIEW PHARMACY	GREENSVIEW PHARMACY (PVT) LTD	116 MUKOSI BLD WEDZA GROWTH POINT	Pharmacy in any other location	WEDZA	01/31/2025	
P01-P1620-2024	GREENWALLS PHARMACY	SCOTPHARM PHARMACY (PVT) LTD	5570 BUDIRIRO 5B S/CENTRE BUDIRIRO	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1156-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	"77/79 HERBERT CHITEPO STREET, 458A MEIKLES BUILDING"	Pharmacy in any other location	MUTARE	04/30/2025	
P01-P1172-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	"7 PRINCESS FLATS, FORT ST/9TH AVE"	Pharmacy in any other location	BULAWAYO	08/31/2025	
P01-P1149-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	39 HERBERT CHITEPO STREET	Pharmacy in any other location	MUTARE	04/30/2025	
P05-P1147-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	SHOP NO. 7 FMC R. MUGABE WAY	Pharmacy located in the CBD	KWEKWE	12/31/2025	
P05-P1199-2024	GREENWOOD PHARMACY	NATIONAL GENERICS	"SHOP 3 HUGHES HSE, 22 PARK ST"	Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P1193-2024	GREENWOOD PHARMACY	NATIONAL GENERICS P/L	89C LEOPOLD TAKAWIRA STREET	Pharmacy located in the CBD	HARARE	03/31/2025	
P01-P1198-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	"CNR 4TH AND NELSON MANDELA, GREYHURST BLD"	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1188-2024	GREENWOOD PHARMACY	NATIONAL GENERICS (PVT) LTD	91 HARARE STREET CNR BANK STREET	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1181-2024	GREENWOOD PHARMACY	NATIONAL GENERICS(PVT) LTD	SHOP 6 PICK N PAY 307 ARCTURUS RD	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1148-2024	GREENWOOD PHARMACY - MASVINGO	NATIONAL GENERICS (PVT) LTD	NO. 26 HOFMEYER (SIMON MUZENDA) STREET	Pharmacy in any other location	MASVINGO	05/31/2025	
P01-P1178-2024	GREENWOOD PHARMACY - MIDLANDS	NATIONAL GENERICS (PVT) LTD	155/156 GTL MAIN STREET	Pharmacy in any other location	GWERU	08/31/2025	
P01-P1192-2024	GREENWOOD PHARMACY (FIFE AVENUE)	NATIONAL GENERICS (PVT) LTD	FIFE AVE/FIFTH ST	Pharmacy in any other location	HARARE	05/31/2025	
P05-P1160-2024	GREENWOOD PHARMACY ANGWA STREET	NATIONAL GENERICS (PVT) LTD	SHOP 2 & 3 NO. 243 ANGWA STREET	Pharmacy located in the CBD	HARARE	04/30/2025	
W01-P0206-2024	GREENWOOD Wholesalers	NATIONAL GENERICS (PVT) LTD	SHOP 3 VENTURE HSE G. SILUNDIKA ST	Wholesalers	BULAWAYO	10/31/2025	
W01-P0147-2024	GREENWOOD Wholesalers	NATIONAL GENERICS (PVT) LTD	58-60 CRASTER ROAD	Wholesalers	HARARE	03/31/2025	
W01-P0218-2024	GREENWOOD Wholesalers- SIMON MUZENDA	NATIONAL GENERICS (PVT) LTD	26 HOFMEYER STREET	Wholesalers	MASVINGO	05/31/2025	
I03-P0218-2024	GREIF (ZIMBABWE)	GREIF (ZIMBABWE) PVT LTD	47 HIGHFIELD ROAD SOUTHERTON	Clinics: Class C	HARARE	09/30/2024	
P05-P1757-2024	GREY PHARMACY DOWNTOWN	GREY PHARMACY DOWNTOWN	SHOP B OASIS MALL 12 HERBERT CHITEPO STREET	Pharmacy located in the CBD	MUTARE	12/31/2025	
P05-P1495-2024	GREY PHARMACY MOTOMOTO	GREY PHARMACEUTICALS (PVT) LTD	SHOP C5 LITO MALL 60 HERBERT CHITEPO ST	Pharmacy located in the CBD	MUTARE	02/28/2025	
P01-P1997-2024	GREYSTONE PARK PHARMACY	SANTIBAN TRADING (PVT) LTD	"226 CARRICK CREAGH RD, QUINNINGTON"	Pharmacy in any other location	HARARE	05/31/2025	
P01-P0964-2023	GUARDIAN PHARMACY	LIFE JACKET INVESTMENTS (PVT) LTD	1102 NORTON TOWN CENTRE	Pharmacy in any other location	NORTON	06/30/2025	
P05-P2001-2024	GUARDIAN PHARMACY	LIFE JACKET INVETSMENTS (PVT) LTD	NO. 65 REZENDE STREET	Pharmacy located in the CBD	HARARE	04/30/2025	
P01-P1487-2024	GUARDIAN PHARMACY	PIQUANT ACTION (PVT) LTD	1102 CONMART CRESCENT	Pharmacy in any other location	NORTON	02/28/2025	
P06-P1967-2024	GUIDING STAR PHARMACY	KEMULOS INVESTMENTS (PVT) LTD	STD NO.169 NDANGA BUS. CENTRE	Pharmacy in rural area	ZAKA	04/30/2025	
P01-P1965-2024	GUILDING STAR PHARMACY	KEMULOS INVESTMENTS (PVT) LTD	STD NO.169 NDANGA BUS. CENTRE	Pharmacy in any other location	ZAKA	04/30/2025	
P06-P1533-2024	GURUVE PHARMACY	GURUVE PHARMACY	STAND 1600 MsIKWI COMPLEX	Pharmacy in rural area	GURUVE	09/30/2025	
I02-P0013-2023	GWERU NEW START CENTRE	POPULATION SOLUTIONS FOR HEALTH	"MTAPA NED CENTRE, HAMUTYINEYI ST MTAPA"	Clinics: Class B	GWERU	09/30/2024	
I02-P0175-2023	GWERU NEW START CENTRE CLINIC	POPULATION SERVICES INTERNATIONAL	MTAPA ADMIN	Clinics: Class B	GWERU	09/30/2024	
P05-P1597-2024	GWERUS ELITE PHARMACY	ADCIOUS (PVT) LTD	"SHOP 3 DESSON BLD, 28 R.G. MUGABE WAY"	Pharmacy located in the CBD	GWERU	10/31/2025	
I03-P0101-2023	HAGGIE RAND CLINIC	HAGGIE RAND ZIMBABWE (PVT) LTD	BESSMER STREET	Clinics: Class C	KWEKWE	08/30/2025	
I04-P0106-2023	HARARE INSTITUTE OF TECHNOLOGY	HARARE INSTITUTE OF TECHNOLOGY	GANGES RD BELVEDERE	Clinics: Class D	HARARE	09/30/2024	
P01-P1636-2024	HARARE ONCOLOGY PHARMACY	HARARE ONCOLOGY PHARMACY (PVT) LTD	16 JOSIAH TONGOGARA AVENUE	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1651-2024	HARARE PHARMACY	ATACAND PHARMACEUTICALS (PVT) LTD	132 HEBERT CHITEPO AVENUE	Pharmacy in any other location	HARARE	09/30/2025	
P02-P1246-2024	HARCOMBE A O & ASSOCIATES	Dr HARCOMBE ANTHONY OLIVER	"31 RHODESVILLE AVENUE, GREENDALE"	Pharmacies: Restricted	HARARE	02/28/2025	
P01-P1542-2024	HARVEST MEDICAL PHARMACY	POKAM PHARMACIES (PVT) LTD	6B BAKER STREET	Pharmacy in any other location	KADOMA	06/30/2025	
P01-P1788-2024	HASHTAG BULAWAYO PHARMACY	EMPRIN TRADING (PVT) LTD	54 H. CHITEPO BTWN 3RD & 4TH AVENUE	Pharmacy in any other location	BULAWAYO	01/31/2025	
P01-P1573-2024	HATFIELD PHARMACY	BETAMED PHARMACEUTICAL CO.(PVT) LTD	150 ST. PATRICKS ROAD	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1964-2024	HAZROD PHARMACY	HAZROD (PVT) LTD	13299 NGUNGUNYANA SHOPPING CENTRE	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1226-2024	HEAL PLUS PHARMACY	HEAL PLUS PHARMACEUTICALS (PVT) LTD	6953 TSAMVIRINGA ROAD MUFAKOSE	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1703-2024	HEALNEST PHARMACY	HEALNEST PHARMACY ( PVT) LTD	32 OAK STREET	Pharmacy in any other location	MARONDERA	03/31/2025	
P01-P1661-2024	HEALNEST PHARMACY	HEALNEST PHARMACY (PVT) LTD	STAND 3058 CHERUTOMBO T/SHIP	Pharmacy in any other location	MARONDERA	08/31/2025	
P01-P1956-2024	HEALSOFT PHARMACY	HEALSOFT PHARMACEUTICALS (PVT) LTD	NO. 378	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1220-2024	HEALSOFT PHARMACY	HEALSOFT PHARMACEUTICALS (PVT) LTD	356 MOPANE ROAD	Pharmacy in any other location	CHIREDZI	02/28/2025	
P01-P1922-2024	HEALTH 101 PHARMACY	VEENAH PHARMACEUTICALS (PVT) LTD	NO. 995 MAIN STREET	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1702-2024	HEALTH BOX PHARMACY	EONRA INNOVATIONS (PVT) LTD	STAND NO 3784	Pharmacy in any other location	RUWA	08/31/2025	
P01-P1497-2024	HEALTH DIRECT PHARMACY	MORCY HEALTHCARE (PVT) LTD	8555 CHITUBU SHOPPING CENTRE	Pharmacy in any other location	HARARE	03/31/2025	
P05-P1848-2024	HEALTH DIRECT PHARMACY	DEUS PHARMACEUTICALS (PVT) LTD	55 ROBERT MUGABE WAY	Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P2012-2024	HEALTH DIRECT PHARMACY	MORCY HEALTHCARE (PVT) LTD	123 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1313-2024	HEALTH GATE PHARMACY	TANQ VEST INCORPORATED (PVT) LTD	60A SECOND ST	Pharmacy in any other location	MUTARE	10/31/2025	
P05-P1217-2024	HEALTH GATE PHARMACY	ORANGE HIBISCUS (PVT) LTD	"47C OLYMPIA HSE, ELM STREET"	Pharmacy in any other location	MARONDERA	03/31/2025	
P01-P1585-2024	HEALTH HAVEN PHARMACY	MIRELLE INVESTMENTS	"7614 VENDOR ST, ROCKODOX SERVICE STATION"	Pharmacy in any other location	KWEKWE	09/30/2025	
P05-P1917-2024	HEALTH HAVEN PHARMACY	MIRELLE INVESTMENTS (PVT) LTD	36-4TH STREET STANLY HOUSE	Pharmacy located in the CBD	KWEKWE	02/28/2025	
P01-P1873-2024	HEALTH HUB PHARMACY	REAL FLOODGATES (PVT LTD	4757 GLEN VIEW 3 SHOPPING CENTRE	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1349-2024	HEALTH LINK PHARMACY	ITAI RUDO MEDICAL (PVT) LTD	STAND 1551 DEMA GROWTH POINT	Pharmacy in any other location	DEMA	11/30/2025	
P01-P1519-2024	HEALTH LINK PHARMACY	ITAI RUDO MEDICAL PVT LTD	3101 ST MARYS	Pharmacy in any other location	CHITUNGWIZA	02/28/2025	
P01-P1503-2024	HEALTH MART PHARMACY	WILLGREEN INVESTMENTS (PVT) LTD	42/44 2ND STREET	Pharmacy in any other location	MUTARE	09/30/2025	
P05-P1663-2024	HEALTH PARTNER PHARMACY	HEALTH PARTNER PHARMACY (PVT) LTD	2413 66 JULIUS NYERERE WAY	Pharmacy located in the CBD	HARARE	10/31/2025	
W01-P0120-2023	HEALTH SHIELD DISTRIBUTION	PREMIER SER MEDICAL INVESTMENTS P/L	"79 BISHOP GAUL, MILTON PARK,"	Wholesalers	HARARE	03/31/2025	
P01-P0980-2023	HEALTHBROOK PHARMACY	MARALINA (PVT) LTD	956/4 MBIZO	Pharmacy in any other location	KWEKWE	06/30/2025	
P01-P1486-2024	HEALTHBROOK PHARMACY GWERU	MARALINA (PVT) LTD	4181 ASCOT	Pharmacy in any other location	GWERU	02/28/2025	
P01-P1328-2024	HEALTHCARE PHARMACY	NEED MANAGEMENT CONSULTANTS P/L	SHOP NO 10 NSSA COMPLEX	Pharmacy in any other location	GWANDA	01/31/2025	
